id_type,type
516,LIMPIADORES PISO
517,LIMPIADOR DE PISOS DESINFECTANTE
518,PALAS
519,TOALLITAS HÚMEDAS - TOALLITAS HÚMEDAS
520,LIMPIAVIDRIOS
521,GUANTES DE LIMPIEZA
522,CLOROGEL
523,TOALLAS DESINFECTANTES
524,LIMPIADORES DE PISO
525,VELAS
526,CERAS
527,PAÑO MULTIUSO
528,QUITAMANCHAS
529,ESCOBAS
530,PAÑOS DE COCINA
531,LAVAVAJILLAS
532,ESPONJA
533,TRAPEROS
534,DETERGENTES PARA ROPA
535,TOALLITAS DESINFECTANTES
536,LIMPIADORES DE CALZADO
537,GUANTES Y TOMA OLLAS
538,REPUESTO INSECTICIDAS
539,BEBIDAS REGULARES
540,BEBIDAS ZERO
541,BEBIDAS GASEOSAS ZERO
542,AGUAS MINERALES SIN GAS
543,AGUAS MINERALES CON GAS
544,JUGOS Y NÉCTAR
545,JUGOS EN POLVO
546,AGUAS SABORIZADAS
547,AGUAS PURIFICADAS
548,BEBIDAS GASEOSAS
549,BEBIDAS ISOTÓNICAS
550,JUGOS FRESCOS
551,BEBIDAS LIGHT
552,BEBIDAS ENERGÉTICAS
553,TÉ Y CAFÉ HELADOS
554,AGUAS DE ALOE VERA
555,AGUAS TÓNICAS
556,LIMONADAS
557,JUGOS NATURALES
558,BEBIDA ENERGÉTICA
559,NA
560,ACONDICIONADORES INFANTIL
561,GALLETAS DE ARROZ
562,CREMA COCEDURAS
563,ARTÍCULOS HIGIENE BEBÉ
564,ACEITES CORPORALES
565,MEDICAMENTOS Y SUPLEMENTOS
566,ESCOBILLAS
567,SET DE PERFUMES
568,MAMADERAS
569,VASOS
570,PAÑITOS PARA BEBÉS
571,SHAMPOO INFANTIL
572,BOLSOS Y MOCHILAS MATERNALES
573,TUTOS
574,CHUPETES
575,MORDEDORES
576,ACCESORIOS DE APRENDIZAJE
577,TAZAS Y MUGS
578,CAJAS DECORATIVAS
579,ASPIRADORES NASALES
580,MANTAS
581,FRAZADAS
582,TOALLAS CAPUCHA
583,CEPILLOS DE LIMPIEZA
584,LECHES EN POLVO
585,PLATOS
586,EXTRACTORES DE LECHE
587,CONJUNTOS
588,CUBRECOLCHONES
589,PAÑALES PARA PISCINA
590,ZAPALLO CONGELADO
591,SOPAIPILLAS
592,HAMBURGUESAS DE LEGUMBRES
593,GYOSAS DE CERDO
594,CEBOLLA
595,BASE POROTOS
596,BASE TOMATICÁN
597,ARROLLADO ARTESANAL
598,POROTOS VERDES
599,HELADOS CON FRUTOS SECOS
600,POROTOS CON MAZAMORRA
601,MIX LEGUMBRES
602,MIX SMOOTHIE ROSA
603,SALCHICHAS SUCEDÁNEO
604,MIX SMOOTHIE VERDES
605,AJÍ AMARILLO
606,DIENTE DE AJO
607,MELÓN
608,MOUSSE CHOCOLATE
609,QUICHE POLLO
610,FILETE DE PESCADO
611,CHIPS VEGETALES
612,CHORIZO SUCEDÁNEO
613,HELADOS CON SALSAS
614,SMOOTHIE QUINOA
615,BASE PAPILLAS
616,MOUSSE
617,MOUSSE MANJAR
618,PIE
619,CHARQUICÁN
620,HOJAS DE PARRA
621,AJÍ DE GALLINA
622,FILETES DE POLLO
623,NUGGETS SUCEDÁNEO
624,YUCAS
625,CAFÉ INSTANTÁNEO LIOFILIZADO
626,BARRAS DE CEREAL
627,GALLETAS DE AGUA
628,STEVIA
629,TÉ NEGRO
630,CAFÉ INSTANTÁNEO TRADICIONAL
631,CAFÉ DESCAFEINADO INSTANTÁNEO
632,GOMITAS
633,GRANOLA
634,TÉ INGLÉS
635,CHOCOLATE RELLENO
636,MANTEQUILLA DE MANÍ
637,BALLS CHOCOLATE
638,MARSHMALLOWS
639,GALLETAS DE CHAMPAÑA
640,CEREAL INTEGRAL
641,TÉ EARL GREY
642,AZÚCAR FLOR
643,CAFÉ GRANO MOLIDO
644,TÉ CEYLÁN
645,GALLETAS IMPORTADAS
646,CHANCACA
647,INFUSIONES
648,PASTA UNTABLE
649,DULCE DE LECHE
650,GALLETAS SALADAS
651,AZÚCAR RUBIA
652,ALULOSA
653,HIERBAS
654,CÁPSULAS DE CAFÉ
655,CHICLES
656,CEREAL MAÍZ
657,SUCRALOSA
658,CAFÉ GRANO MOLIDO ORGÁNICO
659,CÁPSULAS PARA NESPRESSO
660,DULCE DE MEMBRILLO
661,TÉ VERDE
662,CAFÉ VAINILLA
663,TÉ SABORIZADO
664,GALLETAS VEGANAS
665,CAFÉ VEGANO
666,CAFÉ SABORIZADO
667,BARQUILLOS
668,MAZAPÁN
669,MUESLI
670,CÁPSULAS DE PAPEL
671,TÉ CHAI
672,MIEL DE ABEJA
673,CAFÉ CAPPUCCINO
674,CAFÉ DESCAFEINADO LIOFILIZADO
675,CAFÉ CARAMELO
676,PANELA
677,CÁPSULAS PARA DOLCE GUSTO
678,YERBA MATE
